id,year,category,name,furigana,startDate,imagePath,url,isActive,createdAt,updatedAt,updatedBy
108,,1,ヤナセ,やなせ,2020-02-07,https://d33qu4elo4g96s.cloudfront.net/partner/1/3/tvEGtWL0Rfd6snU3GIxp5hBK4FlcyZWVSsYugHoj.png,https://www.yanase.co.jp/,1,2020-02-07 17:21:53,2020-02-07 17:21:54,3
109,,1,ほのか,ほのか,2020-02-07,https://d33qu4elo4g96s.cloudfront.net/partner/1/3/6U43JsLP8kFllm32MmVD7TncKtFyHQ6NjjPgl9Tf.png,http://www.yudokoro-honoka.jp/,1,2020-02-07 17:22:29,2020-02-07 17:22:29,3
110,,1,山鋼札幌株式会社,やまこうさっぽろ,2020-02-07,https://d33qu4elo4g96s.cloudfront.net/partner/1/3/k1QZMKki0HcILLO5HrWHj4Y42fJgfXEAKF19x9me.png,http://www.yamakou-s.com/,1,2020-02-07 17:23:28,2020-02-12 12:06:21,3
111,,1,株式会社シズナイロゴス,しずないろごす,2020-02-07,https://d33qu4elo4g96s.cloudfront.net/partner/1/3/BvhIl9QwCbt8GzOUmYFFxs6mih5q0SNLA2iLOOBp.png,http://www.shizunai.co.jp/,1,2020-02-07 17:24:10,2020-02-12 11:59:18,3
112,,1,ドクターアイズ,どくたーあいず,2020-02-07,https://d33qu4elo4g96s.cloudfront.net/partner/1/3/aIAU5QIRjsxJycGS0FlMhcUcfNJYcR8TcDUYxFCu.png,http://www.dr-eyes-megane.com/,1,2020-02-07 17:24:38,2020-02-07 17:24:38,3
113,,1,クリーンアップ,くりーんあっぷ,2020-02-07,https://d33qu4elo4g96s.cloudfront.net/partner/1/3/zVsN7NaRxknJNFKYxMAk2uC2sEmoBI3DvL3iBcYD.png,http://www.clean-up.co.jp/,1,2020-02-07 17:25:04,2020-02-07 17:25:04,3
114,,1,さっぽろ東急百貨店,さっぽろとうきゅうひゃっかてん,2020-02-07,https://d33qu4elo4g96s.cloudfront.net/partner/1/3/WbRr3pweJIYhyd1aSVb9xqNrGI94RfGCq0psNH1m.png,http://www.tokyu-dept.co.jp/sapporo/,1,2020-02-07 17:25:33,2020-02-07 17:25:33,3
115,,1,日本郵便,にほんゆうびん,2020-02-07,https://d33qu4elo4g96s.cloudfront.net/partner/1/3/kjx5cKvFYgUTkp8v6vxKPsiJKBKH1DzhzM5AiODj.png,http://www.post.japanpost.jp/index.html,1,2020-02-07 17:26:00,2020-02-07 17:26:01,3
116,,1,西岡第一病院,にしおかだいいちびょういん,2020-02-07,https://d33qu4elo4g96s.cloudfront.net/partner/1/3/U2ZpHIBiGKDZqsnM0505j1j3kFpK8ti2GfpOqc4O.png,http://nishiokadaiichi.or.jp/,1,2020-02-07 17:26:29,2020-02-07 17:26:29,3
117,,1,リープ調剤薬局,りーぷちょうざいやっきょく,2020-02-07,https://d33qu4elo4g96s.cloudfront.net/partner/1/3/XJGHJ50WPVsP44fjkij3C7gNnj9a6gODHLYOMIEi.png,,1,2020-02-07 17:26:55,2020-02-07 17:26:55,3
118,,1,株式会社 アド・カンパニー,あどかんぱにー,2020-02-07,https://d33qu4elo4g96s.cloudfront.net/partner/1/3/IgL2DdHHvxaTZJwOjgR5ykvgOZFZ7RKL4KxChLYR.png,http://www.adcompany.co.jp/,1,2020-02-07 17:27:34,2020-02-12 11:58:01,3
119,,1,十勝バス株式会社,とかちばす,2020-02-07,https://d33qu4elo4g96s.cloudfront.net/partner/1/3/QS2XwQyaZtnCDZxWeDGjgzXZ7BSEQhFypWhYQP9m.png,http://www.tokachibus.jp/,1,2020-02-07 17:28:02,2020-02-12 12:04:07,3
120,,1,KING XMHU,きんぐむー,2020-02-07,https://d33qu4elo4g96s.cloudfront.net/partner/1/3/tWw7J6g6geA28q4iz5FViVfyO8875IjCNo25RNhq.png,http://kingxmhu.com/,1,2020-02-07 17:28:41,2020-02-07 17:28:41,3
121,,1,新さっぽろ サンピアザ・デュオ,さんぴあざでゅお,2020-02-07,https://d33qu4elo4g96s.cloudfront.net/partner/1/3/GBdEUGGxEO150jTiKw5ZRlcQqxdHD0KSeAB4Z9lK.jpg,http://www.sunpi-duo.com/,1,2020-02-07 17:29:43,2020-02-14 17:07:46,4
122,,1,ソリューションプラス株式会社,そりゅーしょんぷらす,2020-02-07,https://d33qu4elo4g96s.cloudfront.net/partner/1/3/0JVPnLSo027g8casQfGssUuuYtlIW6XXUsq8CasD.png,https://solutionplus.co.jp/,1,2020-02-07 17:30:14,2020-02-12 12:03:21,3
123,,1,インポート・プラス,いんぽーとぷらす,2020-02-07,https://d33qu4elo4g96s.cloudfront.net/partner/1/3/P1b19g3yRQ9Ct6ZTUXZIKLTbgYV0zxV0VuuV29G4.jpg,http://www.import-plus.com/,1,2020-02-07 17:30:42,2020-02-07 17:30:42,3
124,,1,札幌国際大学,さっぽろこくさいだいがく,2020-02-07,https://d33qu4elo4g96s.cloudfront.net/partner/1/3/cBgFfxkaQzUmaLgLfBPwsjiFDn412sQ6fEqgKqpY.png,http://www.siu.ac.jp/,1,2020-02-07 17:31:41,2020-02-07 17:31:41,3
125,,1,株式会社アシタバ,あしたば,2020-02-07,https://d33qu4elo4g96s.cloudfront.net/partner/1/7/bOFBLEevyN2FT1jFNVVF6ozescFb45CpWm2T6qXh.gif,http://ashitaba-ltd.co.jp/,1,2020-02-07 17:32:23,2020-02-26 09:59:27,7
126,,1,光電社,こうでんしゃ,2020-02-07,https://d33qu4elo4g96s.cloudfront.net/partner/1/3/5rjSXLgKOMe8ObNf2oK2fQhFEBr9zpsdPRTzoata.png,http://www.u-koudensha.co.jp/,1,2020-02-07 17:32:49,2020-02-07 17:32:49,3
127,,1,学校法人札幌青葉学園,さっぽろあおばがくえん,2020-02-07,https://d33qu4elo4g96s.cloudfront.net/partner/1/3/bauyg7vUbs0cHeOI1zgEijGHuIUhZvvRX283WFaa.jpg,http://www.sapporo-aoba.ac.jp/,1,2020-02-07 17:33:28,2020-02-12 11:56:28,3
128,,1,aiwell 株式会社,あいうぇる,2020-02-07,https://d33qu4elo4g96s.cloudfront.net/partner/1/3/5W4jxEXb1sRAQmgr0qdINNFJFUYaYLpoZGX5D9Xn.png,https://www.aiwelljapan.com/,1,2020-02-07 17:34:15,2020-02-12 11:53:41,3
129,,1,三井不動産,みついふどうさん,2020-02-07,https://d33qu4elo4g96s.cloudfront.net/partner/1/7/LLgfKnICNm53cv8SIuUT7iWIJysYBjOZn6k7Er7O.jpg,https://www.mitsuifudosan.co.jp/corporate/branch/hokkaido/index.html,1,2020-02-07 17:34:41,2020-03-10 16:18:11,7
130,,1,札幌ハートセンター,さっぽろはーとせんたー,2020-02-07,https://d33qu4elo4g96s.cloudfront.net/partner/1/3/8MR7yeWRj90r1giGwz9XogCQHpxDcjD53mNHCUbO.png,http://www.scvc.jp,1,2020-02-07 17:36:09,2020-02-12 12:27:25,3
131,,1,中部衛生検査センター,ちゅうぶえいせいけんさせんたー,2020-02-07,https://d33qu4elo4g96s.cloudfront.net/partner/1/3/WWu1iwRzyinHSLHzO932yRxhtZ52kTfrtrKL7kv0.jpg,http://www.chubueisei.co.jp/,1,2020-02-07 17:36:39,2020-02-14 17:14:24,4
132,,1,三光不動産,さんこうふどうさん,2020-02-07,https://d33qu4elo4g96s.cloudfront.net/partner/1/3/QitIVBtUOYlDWfRmK7Rq77JPaadeTnVKUR3r9cHg.png,http://www.apaman-sanko.jp/,1,2020-02-07 17:37:17,2020-02-07 17:37:17,3
133,,1,株式会社進学会ホールディングス,しんがくかいほーるでぃんぐす,2020-02-07,https://d33qu4elo4g96s.cloudfront.net/partner/1/3/vPvnrePnNnTzTOd7iAwOtmPyWmORWIvepiEVOq72.png,http://www.shingakukai.co.jp/,1,2020-02-07 17:37:51,2020-02-12 11:59:36,3
134,,1,朝日新聞,あさひしんぶん,2020-02-07,https://d33qu4elo4g96s.cloudfront.net/partner/1/3/NuPSksoyIfa29FFLhrB1AKAWTGqmUzD2nmBQd1ts.png,https://www.asahi.com/,1,2020-02-07 17:38:35,2020-02-07 17:38:35,3
135,,1,SOCCER SHOP KAMO,さっかーしょっぷかも,2020-02-07,https://d33qu4elo4g96s.cloudfront.net/partner/1/3/A0SQkNsAW7ybypTsHvGQvnhq4rSls9uCi4R7s2FX.png,http://www.sskamo.co.jp/,1,2020-02-07 17:39:15,2020-02-07 17:39:15,3
136,,1,株式会社グランドール,ぐらんどーる,2020-02-07,https://d33qu4elo4g96s.cloudfront.net/partner/1/3/HkXNqpvzXxXTwgr9mVFzG5qfkyAWFuSC0gCh2mqR.jpg,https://inc-grandeur.jp/,1,2020-02-07 17:39:44,2020-02-12 11:58:30,3
137,,1,清水種苗株式会社,しみずしゅびょうかぶしきがいしゃ,2020-02-07,https://d33qu4elo4g96s.cloudfront.net/partner/1/3/V5q6N22tMcUwkdeNObwBaYhtCBMGreIUQsG8BG57.png,http://shimizuseed.co.jp/,1,2020-02-07 17:40:32,2020-02-07 17:40:32,3
138,,1,challenge consadole,ちゃれんじこんさどーれ,2020-02-07,https://d33qu4elo4g96s.cloudfront.net/partner/1/3/UTrE495uupdMdhXdRnU2fZ0IEjyoqeOVwg57EyED.png,,1,2020-02-07 17:40:59,2020-02-07 17:41:00,3
139,,1,株式会社ティーバイティーホールディングス,てぃーばいてぃーほーるでぃんぐす,2020-02-07,https://d33qu4elo4g96s.cloudfront.net/partner/1/3/xlGTSDx1LlLU4ouBPKBSgCcOxqm52aUWLTxlQhYE.png,https://www.txt-garage.jp/,1,2020-02-07 17:41:39,2020-02-12 12:00:12,3
140,,1,ニッポンレンタカー,にっぽんれんたかー,2020-02-07,https://d33qu4elo4g96s.cloudfront.net/partner/1/3/GCY3hp2mkRwFZZvxY7REKf8yV4wjtV3rr5ASbgd7.png,https://www.nipponrentacar.co.jp/,1,2020-02-07 17:42:08,2020-02-07 17:42:08,3
